"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"VW - VolksWagen",1.6,35856,"Gasoline",11
"Mercedes-Benz",2.3,21483,"Gasoline",35
"Ford",4.9,21054,"Gasoline",28
"VW - VolksWagen",1.6,34927,"Gasoline",10
"VW - VolksWagen",1,84521,"Gasoline",4
"Ford",1,11000,"Gasoline",21
"GM - Chevrolet",1,95059,"Gasoline",0
"Mercedes-Benz",3.2,47424,"Gasoline",29
"GM - Chevrolet",2.8,136799,"Diesel",9
"GM - Chevrolet",2,14783,"Gasoline",24
"Fiat",1.8,35468,"Gasoline",10
"Fiat",1.8,72067,"Gasoline",4
"Mercedes-Benz",2.2,76068,"Diesel",12
"VW - VolksWagen",1.8,14864,"Gasoline",22
"GM - Chevrolet",1.8,66563,"Gasoline",5
"GM - Chevrolet",2,28456,"Gasoline",16
"Ford",1.5,62908,"Gasoline",2
"Mercedes-Benz",2,233587,"Gasoline",4
"Fiat",1.8,12710,"Gasoline",19
"Fiat",1.5,7696,"Gasoline",29
"Ford",2,110018,"Gasoline",6
"VW - VolksWagen",1.8,19299,"Gasoline",25
"GM - Chevrolet",1,73463,"Gasoline",3
"Mercedes-Benz",2.2,183226,"Diesel",2
"GM - Chevrolet",1.4,60731,"Gasoline",4
"VW - VolksWagen",1.6,23456,"Alcohol",18
"Fiat",1.8,44331,"Gasoline",12
"VW - VolksWagen",2,32912,"Gasoline",16
"Fiat",1.8,75696,"Gasoline",3
"Ford",2,46854,"Gasoline",10
"GM - Chevrolet",2.4,40457,"Gasoline",17
"VW - VolksWagen",1.6,5570,"Gasoline",32
"Mercedes-Benz",2,397874,"Gasoline",3
"Fiat",2.3,155763,"Diesel",4
"GM - Chevrolet",2.2,12652,"Gasoline",29
"Ford",4,17684,"Gasoline",28
"VW - VolksWagen",2,28590,"Gasoline",24
"VW - VolksWagen",2,19375,"Gasoline",27
"Mercedes-Benz",2.2,39816,"Diesel",21
"Mercedes-Benz",2.2,53355,"Diesel",18
"VW - VolksWagen",2,9922,"Gasoline",28
"Mercedes-Benz",3.5,92681,"Gasoline",13
"VW - VolksWagen",1,11108,"Alcohol",20
"Fiat",1.8,41985,"Gasoline",9
"Mercedes-Benz",1.6,57594,"Gasoline",13
"VW - VolksWagen",1.4,25014,"Gasoline",17
"VW - VolksWagen",1,59774,"Gasoline",4
"Ford",3,50085,"Diesel",15
"Ford",4.2,109569,"Diesel",17
"Fiat",1,12045,"Gasoline",19
"Fiat",2.3,196033,"Diesel",3
"VW - VolksWagen",1.6,43255,"Gasoline",9
"VW - VolksWagen",1,10725,"Alcohol",19
"GM - Chevrolet",1.6,11254,"Gasoline",25
"GM - Chevrolet",6.2,484260,"Gasoline",0
"Ford",2.3,15971,"Gasoline",26
"GM - Chevrolet",2,9484,"Gasoline",28
"Fiat",2.8,37795,"Diesel",20
"VW - VolksWagen",1,12882,"Alcohol",20
"VW - VolksWagen",1.8,15250,"Gasoline",23
"Fiat",1.8,22819,"Gasoline",18
"Ford",1.6,30306,"Gasoline",12
"Mercedes-Benz",3,77395,"Gasoline",13
"Ford",4,14302,"Gasoline",30
"Fiat",1.3,11542,"Alcohol",19
"VW - VolksWagen",2,40587,"Gasoline",12
"Fiat",1.5,9601,"Gasoline",30
"VW - VolksWagen",1.6,40468,"Gasoline",9
"Fiat",1,17696,"Gasoline",15
"GM - Chevrolet",1.4,50442,"Gasoline",9
